id	model	claim	suffix	text	annotator 1	annotator 2	annotator 3	annotator 4
176	original model	Деньги нужно вкладывать в акции	потому что	только там можно приобрести ценные бумаги на сумму, на порядки превышающую стоимость акций.	0	0	0	0
237	fine-tuned model	Деньги нужно вкладывать в акции	потому что	на таких уровнях процентных ставок это оптимальное решение для инвестиций.	1	1	1	0
244	fine-tuned model	Деньги нужно вкладывать в акции	потому что	так и быстрее, и надежнее, и приятнее.	0	0	0	0
253	fine-tuned model	Деньги нужно вкладывать в акции	потому что	их доходность выше, чем у других инструментов управления, считают эксперты.	1	1	1	1
266	original model	Деньги нужно вкладывать в акции	потому что	в них есть риск потерять, - говорит Андрей Сизов.	0	0	0	0
269	fine-tuned model	Деньги нужно вкладывать в акции	потому что	акции растут.	1	1	1	1
325	original model	Деньги нужно вкладывать в акции	потому что	именно они показывают, что компания работает.	0	0	0	0
339	original model	Деньги нужно вкладывать в акции	потому что	они растут в цене, как только вы их опубликуете.	0	0	0	0
386	original model	Деньги нужно вкладывать в акции	потому что	цены будут расти, если акции падают.	0	0	1	0
403	original model	Деньги нужно вкладывать в акции	потому что	они никогда не падают.	0	0	0	0
480	original model	Деньги нужно вкладывать в акции	потому что	на падающем рынке всегда есть много желающих купить дешевле, чем они реально могут продать.	0	0	1	0
534	fine-tuned model	Деньги нужно вкладывать в акции	потому что	рост акций — это рост чистой прибыли, а она, в свою очередь, это рост расходов.	0	0	1	0
537	original model	Деньги нужно вкладывать в акции	потому что	акции позволяют заработать на акциях.	0	0	1	0
562	original model	Деньги нужно вкладывать в акции	потому что	от их размещения зависит ваша будущая прибыль.	1	0	1	1
574	original model	Деньги нужно вкладывать в акции	потому что	тогда вы всегда сможете их продать.	1	0	1	1
597	fine-tuned model	Деньги нужно вкладывать в акции	потому что	это один из самых лучших вариантов, чем облигации, — объяснил эксперт.	0	0	1	0
630	fine-tuned model	Деньги нужно вкладывать в акции	потому что	инвестиции в акции дают доходность выше.	1	1	0	1
641	original model	Деньги нужно вкладывать в акции	потому что	акции растут, и их цена падает.	0	0	1	0
678	original model	Деньги нужно вкладывать в акции	потому что	они растут!	1	1	1	1
710	fine-tuned model	Деньги нужно вкладывать в акции	потому что	есть много вариантов инвестирования.	0	1	0	0
10	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	облигации — это не просто бумага, а инвестиционный продукт.	1	1	1	0
101	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	рост стоимости ОФЗ может замедлиться или вовсе закончиться, заявил заместитель министра финансов Алексей Моисеев.	0	0	0	0
106	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	это наиболее безопасный способ вложения денег для инвестора.	1	1	1	1
112	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	их доходность выше, чем банковские депозиты, отметил он.	1	1	1	1
117	original model	Деньги нужно вкладывать в облигации	потому что	доходность облигаций намного выше доходности акций, поэтому инвестиции в облигации намного надежнее и приносят больше дохода, чем вложения в акции и другие финансовые инструменты.	1	1	1	1
121	original model	Деньги нужно вкладывать в облигации	потому что	в них есть надежность, и есть спрос.	1	1	1	1
131	original model	Деньги нужно вкладывать в облигации	потому что	облигации дешевле, и поэтому их покупают чаще, чем акции.	1	1	1	0
150	original model	Деньги нужно вкладывать в облигации	потому что	облигации имеют высокую доходность.	1	1	1	0
172	original model	Деньги нужно вкладывать в облигации	потому что	облигации очень ликвидны и их стоимость постоянно растет.	1	1	1	0
173	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	это гораздо выгоднее, чем банковские вклады», — сказал он.	1	1	1	1
213	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	у них есть большая ликвидность, а потом банк выкупает их.	1	1	1	0
226	original model	Деньги нужно вкладывать в облигации	потому что	эти ценные бумаги очень ликвидные.	1	1	1	1
295	original model	Деньги нужно вкладывать в облигации	потому что	цены на облигации могут резко вырасти.	1	1	1	0
307	original model	Деньги нужно вкладывать в облигации	потому что	только там есть прибыльность.	1	0	0	0
314	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	они быстро растут и могут дать больше дохода», — рассказал гендиректор департамента аналитики и финансовых технологий банка «Эксперт» Валерий Дудин.	1	1	1	0
316	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	мы видим, что облигации становятся активом, а не пассивом, и в этом году будем наблюдать, как будет развиваться рынок в секторе долгосрочных бумаг», — сказал Аксаков.	1	0	1	1
382	original model	Деньги нужно вкладывать в облигации	потому что	они растут быстро и имеют высокую доходность.	1	1	1	0
394	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	это один из наиболее устойчивых инструментов вложений.	1	1	1	1
452	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	облигации имеют низкий риск вложений», — пояснил он.	1	1	1	1
459	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	у них более высокая ликвидность», — пояснил руководитель банка «ДельтаКредит» Константин Сумин.	1	1	1	1
575	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	у нас пока нет возможности, например, разместить в облигации деньги.	0	0	0	0
589	original model	Деньги нужно вкладывать в облигации	потому что	все это требует определенных затрат.	0	0	0	0
621	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	они более доходны.	1	1	1	0
634	original model	Деньги нужно вкладывать в облигации	потому что	они дают долгосрочный рост (если не проедают) и стабильные (если их не обдирают).	1	1	1	0
672	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	это дешевле», — сказала министр.	0	0	1	0
691	original model	Деньги нужно вкладывать в облигации	потому что	они, в отличие от других облигаций, могут приносить доход в течении ограниченного срока.	0	0	0	0
699	original model	Деньги нужно вкладывать в облигации	потому что	у вас будет шанс заработать на бонусах и других акциях.	1	1	1	0
733	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	это гораздо более надежный инструмент с большей доходностью, чем деньги».	1	1	1	1
735	fine-tuned model	Деньги нужно вкладывать в облигации	потому что	если не использовать облигации в качестве основной валюты, то это будет не выгодно.	0	0	0	0
776	original model	Деньги нужно вкладывать в облигации	потому что	они будут расти.	1	1	1	0
62	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	они позволяют получить доход и при этом несут минимальные риски.	1	1	1	1
79	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	они дают возможность не только откладывать большую часть своей зарплаты, но и покупать все необходимое.	1	1	1	0
97	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	за ними сохраняются более высокие доходность и стабильность, чем за банковскими вкладами», — рассказал он.	0	0	0	1
136	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	процентная ставка по депозитам будет всегда расти в случае инфляции, однако вкладчик имеет возможность пополнять депозит на более выгодных условиях.	1	1	1	0
137	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	при их срочном оформлении клиент практически гарантированно получит прибыль.	1	1	1	0
142	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	вклады в иностранной валюте более выгодны», — рассказал гендиректор департамента аналитики и консалтинга банка «Эксперт» Валерий Дудин.	0	0	0	0
191	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	их доходность при инвестировании гораздо выше.	1	0	0	0
212	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	при этом вам не придется рисковать.	1	1	1	1
263	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	у таких способов инвестирования, как правило, низкая волатильность и низкая доходность.	1	0	0	0
264	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	так вы гарантируете сохранность накоплений и низкий процентный доход, — считает директор департамента управления рисками департамента розничного продуктов ВТБ Татьяна Артемьева.	1	1	0	1
298	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	они могут пополняться без комиссии.	1	1	1	0
337	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	чем больше вкладываешь, тем более доходными получаешь проценты.	1	1	1	1
342	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	при этом не возникает риска, что они обесцениваются.	1	1	0	1
349	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	проценты будут в любом случае копеечными.	0	0	0	0
360	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	банковский вклад в банке, где деньги выплачиваются на банковскую карту, не будет подвержен инфляции, и не будет иметь существенных потерь.	1	1	1	0
398	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	если вы их потеряли, вернуть их будет довольно сложно, и потребуется довольно длительное время.	0	0	0	0
442	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	если вкладывать их в более крупные финансовые инструменты, то можно столкнуться с ростом процентных ставок, а это может спровоцировать убытки у банка.	0	0	1	0
461	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	это один из наиболее безопасных вариантов вложений.	1	1	1	1
473	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	банк с процентом на депозитных счетах может быть заинтересован в привлечении дополнительных средств на депозит.	1	1	1	0
525	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	по статистике банки снижают свои затраты при сохранении условий депозитных договоров и процентной ставки по вкладам.	0	0	1	0
538	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	они не несут дополнительных рисков.	1	1	1	1
551	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	там можно получить более доходный вклад.	1	0	1	1
602	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	они сейчас наиболее выгодные для долгосрочных вкладов.	1	1	1	1
649	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	при их размещении можно получить доходность на уровне 10-20%.	1	1	1	0
685	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	это самый надежный и быстрый способ хранения денег.	1	1	0	1
693	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	в случае потери депозита, есть вероятность возврата денег через некоторое время.	1	1	0	1
704	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	они, в отличие от других финансовых инструментов, обеспечивают возвратность средств.	1	1	1	1
753	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	у вас не всегда есть возможность в случае форс-мажора обратиться к банковскому учреждению.	0	1	0	0
755	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	вложения в них могут быть долгосрочными.	1	1	1	1
770	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	при их правильном выборе можно сберечь и свой капитал и накопленные проценты.	1	1	1	0
774	original model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	все это требует определенных затрат.	0	0	0	0
797	fine-tuned model	Для сохранения финансов оптимальнее всего использовать депозиты	потому что	это наиболее рискованные инвестиции с высокой доходностью.	0	0	0	0
11	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	их можно хранить долго, безопасно и под надежной защитой», — поясняет он.	1	1	1	1
64	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	не имеют риска.	0	0	0	0
71	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	они не имеют проблем с доступностью и не подвержены риску, считают эксперты.	0	1	1	1
80	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	они позволяют проводить расчеты, в том числе при помощи биткоинов, а фиатных денег в принципе не существует, сказал президент Российской ассоциации электронных коммуникаций Андрей Кашпировский.	0	0	1	0
96	original model	Криптовалюты лучше фиатных валют	потому что	они более предсказуемы.	0	0	0	0
193	original model	Криптовалюты лучше фиатных валют	потому что	эти страны не очень склонны к инфляции.	0	0	0	0
224	original model	Криптовалюты лучше фиатных валют	потому что	у них больше ликвидности, в отличии от финансовых инструментов, в которых инвесторы вынуждены рисковать в целях хеджирования и защиты своих активов», - сказал он.<s>	0	0	0	0
235	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	они защищены от рисков, связанных с хранением и обменом.	1	1	1	1
240	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	у них есть большая ликвидность, а у фиатных валют есть низкий уровень волатильности, говорит Кудрявцев.	1	1	1	0
318	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	это гораздо более надежный инструмент», — пояснил эксперт.	1	0	1	1
357	original model	Криптовалюты лучше фиатных валют	потому что	это не зависит от инфляции, а значит, что не зависит и от цены золота».	0	1	1	1
471	original model	Криптовалюты лучше фиатных валют	потому что	все транзакции на них проходят через интернет.	1	1	1	0
507	original model	Криптовалюты лучше фиатных валют	потому что	не имеют риска", — говорит эксперт.	0	0	0	0
514	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	там они имеют более высокую ликвидность.	1	1	1	1
515	original model	Криптовалюты лучше фиатных валют	потому что	криптовалюты не зависят от денег и могут легко перемещаться на любое расстояние.	1	1	1	0
522	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	при их падении, так же как при обвале фондовых индексов, можно получить выгоду, даже если криптовалюта обесценилась, считает аналитик банка Credit Suisse Андрей Верхошинский.	1	1	1	0
542	original model	Криптовалюты лучше фиатных валют	потому что	не будут дорожать"	0	0	0	0
544	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	это удобнее с точки зрения управления.	1	1	1	1
545	original model	Криптовалюты лучше фиатных валют	потому что	если валюта не может работать, она должна быть заблокирована для получения прибыли.	0	0	0	0
566	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	это гораздо выгоднее, так как по ним меньше ограничений», — сказала он.	1	1	1	0
607	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	они менее подвержены рисковам, более свободны в обращении, заявил заместитель директора департамента валютного регулирования Банка России Юрий Емлюков в ходе онлайн-конференции «Мир без криптовалют».	1	1	1	1
612	original model	Криптовалюты лучше фиатных валют	потому что	их невозможно обналичить.	0	0	0	0
637	original model	Криптовалюты лучше фиатных валют	потому что	они меньше подвержены инфляции», — считает он.	1	1	1	1
679	original model	Криптовалюты лучше фиатных валют	потому что	это проще, быстрее и безопаснее.	0	0	0	0
683	original model	Криптовалюты лучше фиатных валют	потому что	они не несут в себе никаких рисков, при этом они гораздо быстрее и проще в обращении и используются в основном для покупки и торговли.	1	1	1	1
692	original model	Криптовалюты лучше фиатных валют	потому что	они более ликвидные».	1	1	1	1
701	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	у них более высокая ликвидность», — пояснил руководитель банка Алексей Артюх.	1	1	1	1
743	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	они меньше подвержены изменениям котировок в связи с глобальным финансовым кризисом, считает глава Банка России.	1	1	1	1
757	fine-tuned model	Криптовалюты лучше фиатных валют	потому что	на них легче заработать.	1	1	1	0
767	original model	Криптовалюты лучше фиатных валют	потому что	они могут в полной мере раскрыть свой потенциал по управлению рисками и доходностью и при этом не слишком сильно отличаются от других валют».	1	1	1	0
16	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	вы знаете что с ними делать.	0	0	0	0
37	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	в нашем случае это более, чем гарантировано, что в итоге будет результат."	1	1	1	0
42	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	если компания не платит налоги, она остается за рамками ответственности.	0	0	0	0
45	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	они формируют пассивный доход, а при грамотном управлении это будет гарантированный пассивный доход.	1	1	1	1
87	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	это - гарантированно самые большие доходность и сроки инвестирования.	1	1	1	0
111	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	у них есть большая уверенность в том, что их инвестиции будут расти.	1	1	1	0
129	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	они, в первую очередь, предлагают вкладчикам высокие доходность и прибыль, а также, во-вторых, они защищают их от мошенничества.	1	1	1	0
140	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	эти фонды вкладываются в частные активы, которые и приносят доход в случае с НПФ.	1	1	1	0
161	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	пенсионные фонды инвестируют, в основном, в "голубые фишки", как их называют.	1	1	1	0
188	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	там можно получить более высокую доходность.	1	1	1	1
221	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	за ними стоит серьезный капитал и высокий потенциал роста», — сказала Кудрина.	1	1	1	0
267	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	они могут иметь разную процентную маржу.	0	1	0	0
344	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	:   - государственные фонды и пенсионные фонды - не совместимы;   - государство - не поможет Вам, даже если Вы захотите вложить деньги в негосударственные фонды.	0	0	0	0
392	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	они более гибкие.	1	1	0	1
393	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	в отличие от ПФР, где деньги выплачиваются на банковском счёте, государство их не печатает, а инвестирует на фондовом рынке.	0	0	0	1
400	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	они имеют долгосрочную и долгосрочную стратегии роста.	1	1	1	1
401	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	они менее склонны терять деньги.	1	1	1	0
404	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	они получают в среднем от 3 до 5% в зависимости от доходности пенсионных накоплений.	0	0	1	0
412	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	это один из наиболее интересных вариантов, по словам экспертов, который не требует высокой квалификации и не требует длительного времени.	1	1	1	0
466	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	у них больше инструментов для оценки риска, выше доходность, но меньше ограничений.	1	1	1	0
470	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	они дают долгосрочный рост дохода.	1	1	1	1
503	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	они не могут привлечь деньги за счет того, что они выпускают ценные бумаги.	0	1	0	0
578	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	они дают гарантированный и быстрый заработок.	0	0	1	0
585	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	только там можно приобрести инвестиционные паи на фондовом рынке.	0	0	1	0
596	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	все риски они берут на себя.	1	1	1	0
615	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	именно они обеспечивают самые высокие и быстрые темпы роста.	1	1	1	0
661	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	у них более долгосрочные, качественные и стабильные портфели», - поясняет председатель правления ПФР Антон Дроздов.	1	1	1	1
670	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	у них очень высокие доходы.	1	1	1	0
703	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	они позволяют диверсифицировать риски и в большей степени защитить накопительный компонент», - подчеркнул он.	1	1	1	0
727	original model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	инвестировать можно только в акции.	0	0	0	0
761	fine-tuned model	Лучшая инвестиционная стратегия - негосударственные пенсионные фонды	потому что	их доходность выше, чем у ПФР.	1	1	1	1
7	original model	Лучшей инвестицией является покупка недвижимости	потому что	именно в такой период люди имеют достаточно времени для того, чтобы решить накопившиеся проблемы в будущем и обезопасить себя от проблем в настоящем.	0	0	0	0
46	fine-tuned model	Лучшей инвестицией является покупка недвижимости	потому что	она приносит высокий доход, и в связи с этим является одной из самых привлекательных.	1	1	1	1
48	original model	Лучшей инвестицией является покупка недвижимости	потому что	именно она помогает вам жить.	0	1	0	0
50	fine-tuned model	Лучшей инвестицией является покупка недвижимости	потому что	на таких уровнях процентных ставок она более прибыльная и в долгосрочной перспективе менее подвержена риску», — резюмирует он.	1	1	1	1
56	original model	Лучшей инвестицией является покупка недвижимости	потому что	покупка недвижимости дает доход и возможность сохранить свои деньги в течение некоторого времени.	1	1	1	1
100	original model	Лучшей инвестицией является покупка недвижимости	потому что	если дом или квартира стоят дешевле, чем несколько автомобилей, вы никогда не продадите их и будете вынуждены переплачивать еще больше, в надежде, что продавцы или застройщики пойдут навстречу.	0	0	0	0
184	original model	Лучшей инвестицией является покупка недвижимости	потому что	недвижимость можно быстро и удобно продать, а при покупке квартиры в собственность, цена на нее не изменится в худшую сторону.	1	1	1	1
249	fine-tuned model	Лучшей инвестицией является покупка недвижимости	потому что	доходность для нее выше, чем для банков.	1	0	0	0
254	fine-tuned model	Лучшей инвестицией является покупка недвижимости	потому что	это один из наиболее ценных активов, по словам экспертов.	1	1	1	0
282	original model	Лучшей инвестицией является покупка недвижимости	потому что	по крайней мере, она позволяет забыть о финансовых проблемах».	0	1	0	0
293	original model	Лучшей инвестицией является покупка недвижимости	потому что	она, в свою очередь, является самым надежным и гарантированно надежным финансовым вложением.	1	1	1	1
328	fine-tuned model	Лучшей инвестицией является покупка недвижимости	потому что	инвестиции в недвижимость приносят доходность в долгосрочной перспективе».	1	1	1	1
329	fine-tuned model	Лучшей инвестицией является покупка недвижимости	потому что	она сохраняет больше денег и при этом не требует инвестиций.	1	1	1	0
371	original model	Лучшей инвестицией является покупка недвижимости	потому что	только там можно приобрести то, что вам действительно необходимо!	0	1	0	0
395	fine-tuned model	Лучшей инвестицией является покупка недвижимости	потому что	она гарантирует стабильную доходность», — пояснил руководитель банка «Русский стандарт» Игорь Угольников.	1	1	1	0
407	fine-tuned model	Лучшей инвестицией является покупка недвижимости	потому что	недвижимость всегда в цене.	1	1	1	1
463	original model	Лучшей инвестицией является покупка недвижимости	потому что	она может служить средством сохранения капитала.	1	1	1	1
484	original model	Лучшей инвестицией является покупка недвижимости	потому что	она будет приносить долгосрочные дивиденды.	1	1	1	0
500	fine-tuned model	Лучшей инвестицией является покупка недвижимости	потому что	в этом случае вы получаете дополнительный доход от роста цен на жилье.	1	1	1	1
528	original model	Лучшей инвестицией является покупка недвижимости	потому что	недвижимость, это актив, который приносит доход в долгосрочной перспективе.	1	1	1	1
583	original model	Лучшей инвестицией является покупка недвижимости	потому что	если ее не продавать, она может быть и останется.	0	0	0	0
609	fine-tuned model	Лучшей инвестицией является покупка недвижимости	потому что	недвижимость приносит доход, так как стоимость жилья растет, и можно покупать.	1	1	1	1
632	fine-tuned model	Лучшей инвестицией является покупка недвижимости	потому что	недвижимость является наиболее ликвидным объектом.	1	0	1	1
653	fine-tuned model	Лучшей инвестицией является покупка недвижимости	потому что	она дает максимальный доход и может стать источником дополнительного дохода.	1	1	1	1
